EdLevel,YearsCodePro,Country,Gender,ConvertedCompYearly
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,Canada,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",1,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,Brazil,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,Canada,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",9,Egypt,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",1,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",6,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",9,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",9,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",11,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",11,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",13,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",13,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",14,United States of America,Man,200000
